dataset,method,ari,nmi,prototype_size
golub,VALUE_PAM,-0.012939349738860396,0.016624786182502568,
golub,RELATION_PAM,0.05013439561125228,0.06058788288686024,
golub,RELATION_PAM_POSTHOC,0.0,0.0,
golub,RR_DIRECT,-0.008186682848789099,0.0008973349106240176,50.0
colon,VALUE_PAM,-0.04227434580624841,0.028346190134184362,
colon,RELATION_PAM,0.0016625967683275315,0.013589579024853249,
colon,RELATION_PAM_POSTHOC,0.007611776948471365,0.007948035595369716,
colon,RR_DIRECT,0.44574211440037875,0.33013042118106906,50.0
DLBCL,VALUE_PAM,0.01838027072829756,0.026067649336671342,
DLBCL,RELATION_PAM,0.022255265253308964,0.019600615710025318,
DLBCL,RELATION_PAM_POSTHOC,0.0,0.0,
DLBCL,RR_DIRECT,0.32925506483055417,0.36428941168326556,50.0
GDS2771,VALUE_PAM,-0.0021137093122374365,0.00894993444296296,
GDS2771,RELATION_PAM,0.005665656050533471,0.007690454830829007,
GDS2771,RELATION_PAM_POSTHOC,-0.003934161704031217,0.015715856234862696,
GDS2771,RR_DIRECT,0.00814953823851042,0.00737640889545622,50.0
GSE10072,VALUE_PAM,0.5979556429952277,0.5502054189602474,
GSE10072,RELATION_PAM,0.08656275742698821,0.06937741421592424,
GSE10072,RELATION_PAM_POSTHOC,0.0,0.0,
GSE10072,RR_DIRECT,0.925939915879794,0.8836347260240249,50.0
GSE17920,VALUE_PAM,0.04072672758423758,0.021251176964579465,
GSE17920,RELATION_PAM,0.027231127116600896,0.02375796710605312,
GSE17920,RELATION_PAM_POSTHOC,0.0028925745692877456,0.0002625771516085743,
GSE17920,RR_DIRECT,-0.00041389642728944577,0.01998385281975289,50.0
GSE19804,VALUE_PAM,-0.0009824469478648154,0.004806456389611965,
GSE19804,RELATION_PAM,0.0632479920151411,0.05200403582495176,
GSE19804,RELATION_PAM_POSTHOC,0.09359398552820636,0.08914921131862266,
GSE19804,RR_DIRECT,0.8389245788027806,0.751255257306204,50.0
GSE25837,VALUE_PAM,0.01609703749471562,0.0020659115385740115,
GSE25837,RELATION_PAM,0.011283285692793741,0.016448484499824,
GSE25837,RELATION_PAM_POSTHOC,-0.02682439698878476,0.010838071406230528,
GSE25837,RR_DIRECT,0.03318371110413099,0.016842869968665367,50.0
GSE27272,VALUE_PAM,0.0020075223379753507,0.00033117204018885145,
GSE27272,RELATION_PAM,-0.009624255181162694,0.002318358356396167,
GSE27272,RELATION_PAM_POSTHOC,0.0,0.0,
GSE27272,RR_DIRECT,0.0020075223379753507,0.00033117204018885145,50.0
GSE3365,VALUE_PAM,-0.015317931728959006,0.0178446859911615,
GSE3365,RELATION_PAM,0.06800220065047867,0.04823349200935793,
GSE3365,RELATION_PAM_POSTHOC,0.0,0.0,
GSE3365,RR_DIRECT,0.05481637484313578,0.12092725033115499,50.0
GSE6613,VALUE_PAM,-0.001732081615685731,0.016626026192344153,
GSE6613,RELATION_PAM,0.005807447165380745,0.010745243944715314,
GSE6613,RELATION_PAM_POSTHOC,0.0,0.0,
GSE6613,RR_DIRECT,-0.0013486664825544763,0.004112914128503231,50.0
