kind,noise,replicate,method,ari,rule_recovery,prototype_size,target_ari,coverage,mean_margin
REL,0.25,0,VALUE_PAM,0.005254224919432864,,,,,
REL,0.25,0,RELATION_PAM,0.966664391091358,,,,,
REL,0.25,0,RR_DIRECT,1.0,0.16666666666666666,50.0,1.0,1.0,1.0
REL,0.25,1,VALUE_PAM,-0.007338396513320836,,,,,
REL,0.25,1,RELATION_PAM,0.8389276121739417,,,,,
REL,0.25,1,RR_DIRECT,1.0,0.16666666666666666,50.0,1.0,1.0,1.0
REL,0.25,2,VALUE_PAM,-0.007012688730750405,,,,,
REL,0.25,2,RELATION_PAM,0.966664391091358,,,,,
REL,0.25,2,RR_DIRECT,1.0,0.16666666666666666,50.0,1.0,1.0,1.0
REL,0.25,3,VALUE_PAM,0.014329797174996294,,,,,
REL,0.25,3,RELATION_PAM,0.966664391091358,,,,,
REL,0.25,3,RR_DIRECT,1.0,0.16666666666666666,50.0,1.0,1.0,1.0
REL,0.25,4,VALUE_PAM,-0.004230028975698483,,,,,
REL,0.25,4,RELATION_PAM,0.3155189456342669,,,,,
REL,0.25,4,RR_DIRECT,1.0,0.16666666666666666,50.0,1.0,1.0,1.0
REL,0.25,5,VALUE_PAM,-0.003756177924217463,,,,,
REL,0.25,5,RELATION_PAM,0.6104109150562157,,,,,
REL,0.25,5,RR_DIRECT,1.0,0.16666666666666666,50.0,1.0,1.0,1.0
REL,0.25,6,VALUE_PAM,-0.007202304737516005,,,,,
REL,0.25,6,RELATION_PAM,0.7490231524635389,,,,,
REL,0.25,6,RR_DIRECT,1.0,0.16666666666666666,50.0,1.0,1.0,1.0
REL,0.25,7,VALUE_PAM,-0.001355775816819623,,,,,
REL,0.25,7,RELATION_PAM,0.22720543063535514,,,,,
REL,0.25,7,RR_DIRECT,1.0,0.16666666666666666,50.0,1.0,1.0,1.0
REL,0.25,8,VALUE_PAM,0.009491167940943844,,,,,
REL,0.25,8,RELATION_PAM,0.8389336785735303,,,,,
REL,0.25,8,RR_DIRECT,1.0,0.16666666666666666,50.0,1.0,1.0,1.0
REL,0.25,9,VALUE_PAM,-0.0014123462602247984,,,,,
REL,0.25,9,RELATION_PAM,0.29660388551090017,,,,,
REL,0.25,9,RR_DIRECT,1.0,0.16666666666666666,50.0,1.0,1.0,1.0
REL,0.25,10,VALUE_PAM,-0.003992467043314501,,,,,
REL,0.25,10,RELATION_PAM,0.966664391091358,,,,,
REL,0.25,10,RR_DIRECT,1.0,0.16666666666666666,50.0,1.0,1.0,1.0
REL,0.25,11,VALUE_PAM,-0.003907390145844514,,,,,
REL,0.25,11,RELATION_PAM,0.7201647737303596,,,,,
REL,0.25,11,RR_DIRECT,1.0,0.16666666666666666,50.0,1.0,1.0,1.0
REL,0.25,12,VALUE_PAM,0.0016477722119694173,,,,,
REL,0.25,12,RELATION_PAM,0.636952571068069,,,,,
REL,0.25,12,RR_DIRECT,1.0,0.16666666666666666,50.0,1.0,1.0,1.0
REL,0.25,13,VALUE_PAM,-0.0026329647182727752,,,,,
REL,0.25,13,RELATION_PAM,1.0,,,,,
REL,0.25,13,RR_DIRECT,1.0,0.16666666666666666,50.0,1.0,1.0,1.0
REL,0.25,14,VALUE_PAM,-0.0014500634402755121,,,,,
REL,0.25,14,RELATION_PAM,0.7784204195297181,,,,,
REL,0.25,14,RR_DIRECT,1.0,0.16666666666666666,50.0,1.0,1.0,1.0
REL,0.25,15,VALUE_PAM,-0.007202304737516005,,,,,
REL,0.25,15,RELATION_PAM,0.870020056308321,,,,,
REL,0.25,15,RR_DIRECT,1.0,0.16666666666666666,50.0,1.0,1.0,1.0
REL,0.25,16,VALUE_PAM,-0.005932077710218004,,,,,
REL,0.25,16,RELATION_PAM,0.6641606782645127,,,,,
REL,0.25,16,RR_DIRECT,1.0,0.16666666666666666,50.0,1.0,1.0,1.0
REL,0.25,17,VALUE_PAM,0.015238417744290885,,,,,
REL,0.25,17,RELATION_PAM,0.5587934115032686,,,,,
REL,0.25,17,RR_DIRECT,1.0,0.16666666666666666,50.0,1.0,1.0,1.0
REL,0.25,18,VALUE_PAM,-0.0049101568287159515,,,,,
REL,0.25,18,RELATION_PAM,1.0,,,,,
REL,0.25,18,RR_DIRECT,1.0,0.16666666666666666,50.0,1.0,1.0,1.0
REL,0.25,19,VALUE_PAM,-0.001186102828525773,,,,,
REL,0.25,19,RELATION_PAM,0.44007377851388996,,,,,
REL,0.25,19,RR_DIRECT,1.0,0.16666666666666666,50.0,1.0,1.0,1.0
REL,0.25,20,VALUE_PAM,-0.008192071110943713,,,,,
REL,0.25,20,RELATION_PAM,0.870020056308321,,,,,
REL,0.25,20,RR_DIRECT,1.0,0.16666666666666666,50.0,1.0,1.0,1.0
REL,0.25,21,VALUE_PAM,-0.005099244756692171,,,,,
REL,0.25,21,RELATION_PAM,0.6641290556461845,,,,,
REL,0.25,21,RR_DIRECT,1.0,0.16666666666666666,50.0,1.0,1.0,1.0
REL,0.25,22,VALUE_PAM,-0.008389119566138463,,,,,
REL,0.25,22,RELATION_PAM,1.0,,,,,
REL,0.25,22,RR_DIRECT,1.0,0.16666666666666666,50.0,1.0,1.0,1.0
REL,0.25,23,VALUE_PAM,-0.008078164241883587,,,,,
REL,0.25,23,RELATION_PAM,0.9016739602778713,,,,,
REL,0.25,23,RR_DIRECT,1.0,0.16666666666666666,50.0,1.0,1.0,1.0
REL,0.25,24,VALUE_PAM,0.07253810392514565,,,,,
REL,0.25,24,RELATION_PAM,0.7784412814906002,,,,,
REL,0.25,24,RR_DIRECT,1.0,0.0,50.0,1.0,1.0,1.0
REL,0.25,25,VALUE_PAM,0.0198708535712941,,,,,
REL,0.25,25,RELATION_PAM,0.9016758119531366,,,,,
REL,0.25,25,RR_DIRECT,1.0,0.16666666666666666,50.0,1.0,1.0,1.0
REL,0.25,26,VALUE_PAM,0.014496812348648337,,,,,
REL,0.25,26,RELATION_PAM,0.9338895113981978,,,,,
REL,0.25,26,RR_DIRECT,1.0,0.16666666666666666,50.0,1.0,1.0,1.0
REL,0.25,27,VALUE_PAM,-0.00813511445889484,,,,,
REL,0.25,27,RELATION_PAM,0.6103448844068746,,,,,
REL,0.25,27,RR_DIRECT,1.0,0.16666666666666666,50.0,1.0,1.0,1.0
REL,0.25,28,VALUE_PAM,0.032192477126397834,,,,,
REL,0.25,28,RELATION_PAM,0.5588017203025359,,,,,
REL,0.25,28,RR_DIRECT,1.0,0.16666666666666666,50.0,1.0,1.0,1.0
REL,0.25,29,VALUE_PAM,0.005310421938445243,,,,,
REL,0.25,29,RELATION_PAM,0.691881102354791,,,,,
REL,0.25,29,RR_DIRECT,1.0,0.16666666666666666,50.0,1.0,1.0,1.0
REL,0.25,30,VALUE_PAM,-0.007344563610512142,,,,,
REL,0.25,30,RELATION_PAM,0.9338895113981978,,,,,
REL,0.25,30,RR_DIRECT,1.0,0.16666666666666666,50.0,1.0,1.0,1.0
REL,0.25,31,VALUE_PAM,-0.007012688730750405,,,,,
REL,0.25,31,RELATION_PAM,0.3548739282252068,,,,,
REL,0.25,31,RR_DIRECT,1.0,0.16666666666666666,50.0,1.0,1.0,1.0
REL,0.25,32,VALUE_PAM,-0.007354048964218456,,,,,
REL,0.25,32,RELATION_PAM,0.8389336785735303,,,,,
REL,0.25,32,RR_DIRECT,1.0,0.16666666666666666,50.0,1.0,1.0,1.0
REL,0.25,33,VALUE_PAM,-0.0014500634402755121,,,,,
REL,0.25,33,RELATION_PAM,0.9016758119531366,,,,,
REL,0.25,33,RR_DIRECT,1.0,0.16666666666666666,50.0,1.0,1.0,1.0
REL,0.25,34,VALUE_PAM,-0.005932077710218004,,,,,
REL,0.25,34,RELATION_PAM,0.7490113366728184,,,,,
REL,0.25,34,RR_DIRECT,1.0,0.16666666666666666,50.0,1.0,1.0,1.0
REL,0.25,35,VALUE_PAM,-0.005666935736289805,,,,,
REL,0.25,35,RELATION_PAM,0.8389276121739417,,,,,
REL,0.25,35,RR_DIRECT,1.0,0.16666666666666666,50.0,1.0,1.0,1.0
REL,0.25,36,VALUE_PAM,0.005254224919432864,,,,,
REL,0.25,36,RELATION_PAM,0.9016758119531366,,,,,
REL,0.25,36,RR_DIRECT,1.0,0.16666666666666666,50.0,1.0,1.0,1.0
REL,0.25,37,VALUE_PAM,-0.007012688730750405,,,,,
REL,0.25,37,RELATION_PAM,0.6918578921102437,,,,,
REL,0.25,37,RR_DIRECT,1.0,0.16666666666666666,50.0,1.0,1.0,1.0
REL,0.25,38,VALUE_PAM,0.009491167940943844,,,,,
REL,0.25,38,RELATION_PAM,0.8389336785735303,,,,,
REL,0.25,38,RR_DIRECT,1.0,0.16666666666666666,50.0,1.0,1.0,1.0
