noise,replicate,source_ari,exact_pair_recovery,target_ari,coverage,prototype_size,converged,mean_source_margin,mean_target_score,mean_target_margin
0.25,0,1.0,1.0,1.0,1.0,12,True,1.0,1.0,1.0
0.25,1,1.0,1.0,1.0,1.0,12,True,1.0,1.0,1.0
0.25,2,1.0,1.0,1.0,1.0,12,True,1.0,1.0,1.0
0.25,3,1.0,1.0,1.0,1.0,12,True,1.0,1.0,1.0
0.25,4,1.0,1.0,1.0,1.0,12,True,1.0,1.0,1.0
0.25,5,1.0,1.0,1.0,1.0,12,True,1.0,1.0,1.0
0.25,6,1.0,1.0,1.0,1.0,12,True,1.0,1.0,1.0
0.25,7,1.0,1.0,1.0,1.0,12,True,1.0,1.0,1.0
0.25,8,1.0,1.0,1.0,1.0,12,True,1.0,1.0,1.0
0.25,9,1.0,1.0,1.0,1.0,12,True,1.0,1.0,1.0
0.25,10,1.0,1.0,1.0,1.0,12,True,1.0,1.0,1.0
0.25,11,1.0,1.0,1.0,1.0,12,True,1.0,1.0,1.0
0.25,12,1.0,1.0,1.0,1.0,12,True,1.0,1.0,1.0
0.25,13,1.0,1.0,1.0,1.0,12,True,1.0,1.0,1.0
0.25,14,1.0,1.0,1.0,1.0,12,True,1.0,1.0,1.0
0.25,15,1.0,1.0,1.0,1.0,12,True,1.0,1.0,1.0
0.25,16,1.0,1.0,1.0,1.0,12,True,1.0,1.0,1.0
0.25,17,1.0,1.0,1.0,1.0,12,True,1.0,1.0,1.0
0.25,18,1.0,1.0,1.0,1.0,12,True,1.0,1.0,1.0
0.25,19,1.0,1.0,1.0,1.0,12,True,1.0,1.0,1.0
0.25,20,1.0,1.0,1.0,1.0,12,True,1.0,1.0,1.0
0.25,21,1.0,1.0,1.0,1.0,12,True,1.0,1.0,1.0
0.25,22,1.0,1.0,1.0,1.0,12,True,1.0,1.0,1.0
0.25,23,1.0,1.0,1.0,1.0,12,True,1.0,1.0,1.0
0.25,24,1.0,1.0,1.0,1.0,12,True,1.0,1.0,1.0
0.25,25,1.0,1.0,1.0,1.0,12,True,1.0,1.0,1.0
0.25,26,1.0,1.0,1.0,1.0,12,True,1.0,1.0,1.0
0.25,27,1.0,1.0,1.0,1.0,12,True,1.0,1.0,1.0
0.25,28,1.0,1.0,1.0,1.0,12,True,1.0,1.0,1.0
0.25,29,1.0,1.0,1.0,1.0,12,True,1.0,1.0,1.0
0.25,30,1.0,1.0,1.0,1.0,12,True,1.0,1.0,1.0
0.25,31,1.0,1.0,1.0,1.0,12,True,1.0,1.0,1.0
0.25,32,1.0,1.0,1.0,1.0,12,True,1.0,1.0,1.0
0.25,33,1.0,1.0,1.0,1.0,12,True,1.0,1.0,1.0
0.25,34,1.0,1.0,1.0,1.0,12,True,1.0,1.0,1.0
0.25,35,1.0,1.0,1.0,1.0,12,True,1.0,1.0,1.0
0.25,36,1.0,1.0,1.0,1.0,12,True,1.0,1.0,1.0
0.25,37,1.0,1.0,1.0,1.0,12,True,1.0,1.0,1.0
0.25,38,1.0,1.0,1.0,1.0,12,True,1.0,1.0,1.0
0.25,39,1.0,1.0,1.0,1.0,12,True,1.0,1.0,1.0
0.5,0,1.0,1.0,1.0,1.0,12,True,1.0,1.0,1.0
0.5,1,1.0,1.0,1.0,1.0,12,True,1.0,1.0,1.0
0.5,2,1.0,1.0,1.0,1.0,12,True,1.0,1.0,1.0
0.5,3,1.0,1.0,1.0,1.0,12,True,1.0,1.0,1.0
0.5,4,1.0,1.0,1.0,1.0,12,True,1.0,1.0,1.0
0.5,5,1.0,1.0,1.0,1.0,12,True,1.0,1.0,1.0
0.5,6,1.0,1.0,1.0,1.0,12,True,1.0,1.0,1.0
0.5,7,1.0,1.0,1.0,1.0,12,True,1.0,1.0,1.0
0.5,8,1.0,1.0,1.0,1.0,12,True,1.0,1.0,1.0
0.5,9,1.0,1.0,1.0,1.0,12,True,1.0,1.0,1.0
0.5,10,1.0,1.0,1.0,1.0,12,True,1.0,1.0,1.0
0.5,11,1.0,1.0,1.0,1.0,12,True,1.0,1.0,1.0
0.5,12,1.0,1.0,1.0,1.0,12,True,1.0,1.0,1.0
0.5,13,1.0,1.0,1.0,1.0,12,True,1.0,1.0,1.0
0.5,14,1.0,1.0,1.0,1.0,12,True,1.0,1.0,1.0
0.5,15,1.0,1.0,1.0,1.0,12,True,1.0,1.0,1.0
0.5,16,1.0,1.0,1.0,1.0,12,True,1.0,1.0,1.0
0.5,17,1.0,1.0,1.0,1.0,12,True,1.0,1.0,1.0
0.5,18,1.0,1.0,1.0,1.0,12,True,1.0,1.0,1.0
0.5,19,1.0,1.0,1.0,1.0,12,True,1.0,1.0,1.0
