dataset,decision,selected_method,source_q,selected_ari,selected_nmi,oracle_method,oracle_ari,ari_regret
Colon,RELATIONAL,R_PAIR_PAM,0.5906432748538012,0.13663439040105688,0.11378602498528467,R_FOOT_PAM,0.20944097572502296,0.07280658532396608
DLBCL,RELATIONAL,R_PAIR_PAM,0.7465187642546134,0.25135748437501215,0.19347935572776057,H_EUC_PAIR_A075_PAM,0.261946721835436,0.01058923746042384
GDS2771,RELATIONAL,R_PAIR_PAM,0.8962656436340647,0.04286662879497935,0.03374045280880004,H_EUC_PAIR_A075_PAM,0.04286662879497935,0.0
GSE10072,VALUE,V_EUC_PAM,1.0,0.925939915879794,0.8836347260240249,H_EUC_PAIR_A025_PAM,0.925939915879794,0.0
GSE17920,HYBRID,H_EUC_PAIR_A075_PAM,0.6619615566983987,-0.0046696993149258495,0.004001507581737614,V_COR_PAM,0.01674305301543217,0.02141275233035802
GSE19804,RELATIONAL,R_PAIR_PAM,1.0,0.8083916347303698,0.7173850809393951,H_EUC_PAIR_A025_PAM,0.8083916347303698,0.0
GSE25837,RELATIONAL,R_PAIR_PAM,0.7618826950161284,-0.005274346221723087,0.0037673994367015376,V_COR_PAM,0.010141580479967868,0.015415926701690955
GSE27272,VALUE,V_EUC_PAM,1.0,0.0020075223379753507,0.00033117204018885145,V_COR_PAM,0.004773599538237344,0.0027660772002619937
GSE3365,RELATIONAL,R_PAIR_PAM,0.8933287112853676,0.18135560537351886,0.19740319514114607,H_EUC_PAIR_A050_PAM,0.224836717908625,0.04348111253510614
GSE6613,RELATIONAL,R_PAIR_PAM,0.8959677419354839,-0.008856183628942008,0.0005363976135633559,V_EUC_PAM,-0.006369990268070423,0.0024861933608715846
Golub,RELATIONAL,R_FOOT_PAM,0.4846214654910307,0.06516496588758039,0.06940156249182165,H_EUC_PAIR_A075_PAM,0.364992647828218,0.2998276819406376
